     Index  y_measurement      y_fitting   descriptor_1   descriptor_2
         1   -0.12240E+00   -0.27804E+00    0.12212E+00    0.19806E+02
         2   -0.68400E-01   -0.27804E+00    0.12212E+00    0.19806E+02
         3   -0.60000E-01   -0.27804E+00    0.12212E+00    0.19806E+02
         4   -0.95500E-01   -0.27804E+00    0.12212E+00    0.19806E+02
         5   -0.55200E-01   -0.27804E+00    0.12212E+00    0.19806E+02
         6   -0.76900E-01   -0.31161E+00    0.12059E+00    0.27148E+02
         7   -0.10770E+01   -0.40666E+00    0.11771E+00    0.81429E+01
         8   -0.36140E+00   -0.40666E+00    0.11771E+00    0.81429E+01
         9   -0.11450E+00   -0.40666E+00    0.11771E+00    0.81429E+01
        10   -0.19680E+00   -0.40666E+00    0.11771E+00    0.81429E+01
        11   -0.84900E-01   -0.40666E+00    0.11771E+00    0.81429E+01
        12   -0.51090E+00   -0.42278E+00    0.11537E+00    0.55683E+02
        13   -0.24870E+00   -0.28557E+00    0.12212E+00    0.12035E+02
        14   -0.42970E+00   -0.28557E+00    0.12212E+00    0.12035E+02
        15   -0.20360E+00   -0.28557E+00    0.12212E+00    0.12035E+02
        16   -0.50170E+00   -0.56009E+00    0.10529E+00    0.19054E+03
        17   -0.37490E+00   -0.43417E+00    0.11669E+00    0.77554E+01
        18   -0.74080E+00   -0.26972E+00    0.12262E+00    0.14667E+02
        19   -0.33500E+00   -0.26972E+00    0.12262E+00    0.14667E+02
        20   -0.45320E+00   -0.28928E+00    0.12160E+00    0.22469E+02
        21   -0.37710E+00   -0.28928E+00    0.12160E+00    0.22469E+02
        22   -0.29730E+00   -0.28961E+00    0.12198E+00    0.11709E+02
        23   -0.17380E+00   -0.27631E+00    0.12243E+00    0.13084E+02
        24   -0.24740E+00   -0.27631E+00    0.12243E+00    0.13084E+02
        25   -0.15630E+00   -0.27631E+00    0.12243E+00    0.13084E+02
        26   -0.13960E+00   -0.27092E+00    0.12259E+00    0.14250E+02
        27   -0.24600E+00   -0.27092E+00    0.12259E+00    0.14250E+02
        28   -0.11410E+00   -0.27092E+00    0.12259E+00    0.14250E+02
        29   -0.22910E+00   -0.29926E+00    0.12164E+00    0.11091E+02
        30   -0.31450E+00   -0.29926E+00    0.12164E+00    0.11091E+02
        31   -0.17230E+00   -0.29926E+00    0.12164E+00    0.11091E+02
        32   -0.26870E+00   -0.29926E+00    0.12164E+00    0.11091E+02
        33   -0.57740E+00   -0.45923E+00    0.11347E+00    0.70213E+02
        34   -0.50810E+00   -0.28928E+00    0.12160E+00    0.22469E+02
        35   -0.39760E+00   -0.28928E+00    0.12160E+00    0.22469E+02
        36   -0.33830E+00   -0.28206E+00    0.12224E+00    0.12372E+02
        37   -0.64700E+00   -0.29635E+00    0.12128E+00    0.23963E+02
        38   -0.43320E+00   -0.29926E+00    0.12164E+00    0.11091E+02
        39   -0.39430E+00   -0.29926E+00    0.12164E+00    0.11091E+02
        40   -0.68740E+00   -0.26972E+00    0.12262E+00    0.14667E+02
        41   -0.49870E+00   -0.53379E+00    0.10079E+00    0.34104E+03
        42   -0.46700E-01   -0.29926E+00    0.12164E+00    0.11091E+02
        43   -0.63130E+00   -0.43499E+00    0.11475E+00    0.60099E+02
