     Index  y_measurement      y_fitting   descriptor_1   descriptor_2
         1   -0.73000E-01   -0.16617E+00    0.14651E+01   -0.18872E-03
         2   -0.12240E+00   -0.19803E+00    0.15210E+01   -0.22154E-03
         3   -0.68400E-01   -0.12187E+00    0.13999E+01   -0.70874E-04
         4   -0.60000E-01   -0.10523E+00    0.11350E+01   -0.14150E-02
         5   -0.95500E-01   -0.22523E+00    0.11482E+01   -0.26782E-02
         6   -0.55200E-01   -0.47008E-01    0.11212E+01   -0.84480E-03
         7   -0.76900E-01   -0.36776E-01    0.13192E+01    0.41292E-03
         8   -0.10770E+01   -0.83778E+00    0.24874E+01   -0.17812E-02
         9   -0.36140E+00   -0.56765E+00    0.22150E+01   -0.33920E-03
        10   -0.11450E+00   -0.16172E+00    0.14449E+01   -0.25578E-03
        11   -0.19680E+00   -0.20692E+00    0.15207E+01   -0.32247E-03
        12   -0.84900E-01   -0.11330E+00    0.13775E+01   -0.10453E-03
        13   -0.51090E+00   -0.39342E+00    0.19163E+01   -0.11947E-03
        14   -0.24870E+00   -0.18188E+00    0.13947E+01   -0.77071E-03
        15   -0.42970E+00   -0.33416E+00    0.15334E+01   -0.16694E-02
        16   -0.50170E+00   -0.44187E+00    0.19781E+01   -0.30341E-03
        17   -0.37490E+00   -0.50116E+00    0.19841E+01   -0.93061E-03
        18   -0.74080E+00   -0.69815E+00    0.20682E+01   -0.26437E-02
        19   -0.33500E+00   -0.31140E+00    0.17045E+01   -0.42720E-03
        20   -0.45320E+00   -0.42725E+00    0.23733E+01    0.21422E-02
        21   -0.37710E+00   -0.33692E+00    0.18562E+01    0.16400E-03
        22   -0.29730E+00   -0.20011E+00    0.15062E+01   -0.33019E-03
        23   -0.17380E+00   -0.21754E+00    0.15159E+01   -0.46876E-03
        24   -0.15630E+00   -0.20296E+00    0.15116E+01   -0.33090E-03
        25   -0.13960E+00   -0.87364E-01    0.11811E+01   -0.94931E-03
        26   -0.24600E+00   -0.20742E+00    0.12314E+01   -0.19989E-02
        27   -0.11410E+00   -0.51882E-01    0.11747E+01   -0.59022E-03
        28   -0.22910E+00   -0.20626E+00    0.15109E+01   -0.37170E-03
        29   -0.31450E+00   -0.34844E+00    0.16808E+01   -0.97752E-03
        30   -0.17230E+00   -0.17776E+00    0.14743E+01   -0.26501E-03
        31   -0.26870E+00   -0.24633E+00    0.16069E+01   -0.26453E-03
        32   -0.57740E+00   -0.58030E+00    0.23025E+01    0.24889E-04
        33   -0.50810E+00   -0.44387E+00    0.24241E+01    0.22500E-02
        34   -0.39760E+00   -0.35777E+00    0.18951E+01    0.15600E-03
        35   -0.33830E+00   -0.28739E+00    0.17108E+01   -0.12279E-03
        36   -0.64700E+00   -0.55931E+00    0.22364E+01   -0.12255E-03
        37   -0.43320E+00   -0.64288E+00    0.26675E+01    0.14344E-02
        38   -0.39430E+00   -0.42601E+00    0.20601E+01    0.34720E-03
        39   -0.68740E+00   -0.79868E+00    0.20263E+01   -0.40078E-02
        40   -0.41800E+00   -0.37711E+00    0.17132E+01   -0.11104E-02
        41   -0.49870E+00   -0.57855E+00    0.23099E+01    0.87230E-04
        42   -0.46700E-01   -0.64356E-01    0.12850E+01   -0.92444E-04
        43   -0.63130E+00   -0.57153E+00    0.22440E+01   -0.21499E-03
