     Index  y_measurement      y_fitting   descriptor_1   descriptor_2   descriptor_3   descriptor_4   descriptor_5   descriptor_6
         1   -0.73000E-01   -0.72278E-01    0.43700E+00   -0.71030E-04   -0.25532E-02    0.33048E-03   -0.26811E-01    0.80083E+01
         2   -0.12240E+00   -0.11710E+00    0.48362E+00   -0.12898E-03   -0.69402E-02    0.90127E-03   -0.30991E-01    0.80083E+01
         3   -0.68400E-01   -0.44355E-01    0.38266E+00   -0.16537E-04   -0.93926E-03    0.12243E-03   -0.22316E-01    0.80083E+01
         4   -0.60000E-01   -0.68862E-01    0.20727E+00   -0.53260E-03   -0.28611E-02    0.29260E-03   -0.12885E-01    0.96462E+01
         5   -0.95500E-01   -0.14361E+00    0.21825E+00   -0.15592E-02   -0.77772E-02    0.76461E-03   -0.13600E-01    0.96462E+01
         6   -0.55200E-01   -0.41007E-01    0.19579E+00   -0.19712E-03   -0.10525E-02    0.11003E-03   -0.12161E-01    0.96462E+01
         7   -0.76900E-01   -0.16280E+00    0.96674E+00    0.96347E-04   -0.10330E-02    0.12623E-03   -0.66776E-02    0.81614E+01
         8   -0.10770E+01   -0.10736E+01    0.21980E+01   -0.20880E-02   -0.30109E-01   -0.35454E+00   -0.47189E-02    0.90922E+01
         9   -0.36140E+00   -0.45081E+00    0.19572E+01   -0.28569E-03   -0.40748E-02   -0.16289E-01   -0.26466E-02    0.90922E+01
        10   -0.11450E+00   -0.12322E+00    0.86067E+00   -0.96271E-04   -0.21084E-02    0.32455E-03   -0.16062E-01    0.65366E+01
        11   -0.19680E+00   -0.16839E+00    0.92766E+00   -0.18774E-03   -0.57313E-02    0.88691E-03   -0.19988E-01    0.65366E+01
        12   -0.84900E-01   -0.96355E-01    0.80115E+00   -0.24391E-04   -0.77564E-03    0.12108E-03   -0.12961E-01    0.65366E+01
        13   -0.51090E+00   -0.47805E+00    0.18394E+01   -0.27875E-04   -0.98148E-04    0.12632E-03   -0.84708E-02    0.13590E+02
        14   -0.24870E+00   -0.30228E+00    0.84234E+00   -0.29008E-03   -0.24855E-02    0.30369E-03   -0.14621E+00    0.10347E+02
        15   -0.42970E+00   -0.44837E+00    0.96151E+00   -0.97192E-03   -0.67564E-02    0.78697E-03   -0.24409E+00    0.10347E+02
