     Index  y_measurement      y_fitting   descriptor_1   descriptor_2
         1   -0.12240E+00   -0.21106E+00    0.15210E+01   -0.12799E-03
         2   -0.68400E-01   -0.14382E+00    0.13999E+01   -0.41015E-04
         3   -0.60000E-01   -0.88255E-01    0.11350E+01   -0.82012E-03
         4   -0.95500E-01   -0.16334E+00    0.11482E+01   -0.15472E-02
         5   -0.55200E-01   -0.50255E-01    0.11212E+01   -0.48889E-03
         6   -0.76900E-01   -0.78051E-01    0.13192E+01    0.23896E-03
         7   -0.10770E+01   -0.83822E+00    0.24874E+01   -0.17812E-02
         8   -0.36140E+00   -0.55580E+00    0.22150E+01   -0.19630E-03
         9   -0.11450E+00   -0.17588E+00    0.14449E+01   -0.14824E-03
        10   -0.19680E+00   -0.21642E+00    0.15207E+01   -0.18630E-03
        11   -0.84900E-01   -0.13474E+00    0.13775E+01   -0.60494E-04
        12   -0.51090E+00   -0.39820E+00    0.19163E+01   -0.69136E-04
        13   -0.24870E+00   -0.17959E+00    0.13947E+01   -0.44668E-03
        14   -0.42970E+00   -0.29608E+00    0.15334E+01   -0.96443E-03
        15   -0.20360E+00   -0.16029E+00    0.13874E+01   -0.27997E-03
        16   -0.50170E+00   -0.43837E+00    0.19781E+01   -0.17558E-03
        17   -0.37490E+00   -0.47556E+00    0.19841E+01   -0.53855E-03
        18   -0.74080E+00   -0.71532E+00    0.20682E+01   -0.26437E-02
        19   -0.33500E+00   -0.31177E+00    0.17045E+01   -0.24722E-03
        20   -0.45320E+00   -0.41218E+00    0.23733E+01    0.21422E-02
        21   -0.37710E+00   -0.35341E+00    0.18562E+01    0.94907E-04
        22   -0.29730E+00   -0.20981E+00    0.15062E+01   -0.19108E-03
        23   -0.17380E+00   -0.22214E+00    0.15159E+01   -0.27168E-03
        24   -0.24740E+00   -0.31103E+00    0.16115E+01   -0.71953E-03
        25   -0.15630E+00   -0.21248E+00    0.15116E+01   -0.19150E-03
        26   -0.13960E+00   -0.85242E-01    0.11811E+01   -0.55020E-03
        27   -0.24600E+00   -0.16684E+00    0.12314E+01   -0.11548E-02
        28   -0.11410E+00   -0.62424E-01    0.11747E+01   -0.34156E-03
        29   -0.22910E+00   -0.21440E+00    0.15109E+01   -0.21543E-03
        30   -0.31450E+00   -0.33019E+00    0.16808E+01   -0.56472E-03
        31   -0.17230E+00   -0.19069E+00    0.14743E+01   -0.15336E-03
        32   -0.26870E+00   -0.25531E+00    0.16069E+01   -0.15309E-03
        33   -0.57740E+00   -0.57856E+00    0.23025E+01    0.14403E-04
        34   -0.50810E+00   -0.42676E+00    0.24241E+01    0.22500E-02
        35   -0.39760E+00   -0.37281E+00    0.18951E+01    0.90278E-04
        36   -0.33830E+00   -0.29821E+00    0.17108E+01   -0.71056E-04
        37   -0.64700E+00   -0.55440E+00    0.22364E+01   -0.70919E-04
        38   -0.43320E+00   -0.62241E+00    0.26675E+01    0.14344E-02
        39   -0.39430E+00   -0.44279E+00    0.20601E+01    0.20093E-03
        40   -0.68740E+00   -0.82368E+00    0.20263E+01   -0.40078E-02
        41   -0.49870E+00   -0.57876E+00    0.23099E+01    0.50480E-04
        42   -0.46700E-01   -0.88992E-01    0.12850E+01   -0.53498E-04
        43   -0.63130E+00   -0.56315E+00    0.22440E+01   -0.12442E-03
