     Index  y_measurement      y_fitting   descriptor_1   descriptor_2   descriptor_3   descriptor_4   descriptor_5   descriptor_6
         1   -0.12240E+00   -0.14597E+00    0.15210E+01   -0.88002E+01   -0.40032E-04    0.96548E+00   -0.30991E-01   -0.98938E+02
         2   -0.68400E-01   -0.53994E-01    0.13999E+01   -0.11796E+02   -0.36900E-05    0.97640E+00   -0.22316E-01   -0.98938E+02
         3   -0.60000E-01   -0.69183E-01    0.11350E+01   -0.10068E+02   -0.14086E-03    0.66356E+00   -0.12885E-01   -0.24448E+03
         4   -0.95500E-01   -0.11882E+00    0.11482E+01   -0.86644E+01   -0.48394E-03    0.58954E+00   -0.13600E-01   -0.24448E+03
         5   -0.55200E-01   -0.31735E-01    0.11212E+01   -0.11537E+02   -0.43983E-04    0.70864E+00   -0.12161E-01   -0.24448E+03
         6   -0.76900E-01   -0.60412E-01    0.13192E+01   -0.16884E+02    0.21498E-04    0.10700E+01   -0.66776E-02   -0.64966E+03
         7   -0.10770E+01   -0.10751E+01    0.24874E+01   -0.00000E+00   -0.20880E-02   -0.72531E+04   -0.47189E-02   -0.46742E+03
         8   -0.36140E+00   -0.44829E+00    0.22150E+01   -0.52427E+01   -0.10510E-03   -0.28378E+03   -0.26466E-02   -0.46742E+03
         9   -0.11450E+00   -0.17829E+00    0.14449E+01   -0.88388E+01   -0.25462E-04    0.90556E+00   -0.16062E-01   -0.34500E+03
        10   -0.19680E+00   -0.22420E+00    0.15207E+01   -0.75336E+01   -0.58269E-04    0.92008E+00   -0.19988E-01   -0.34500E+03
        11   -0.84900E-01   -0.13164E+00    0.13775E+01   -0.10338E+02   -0.54424E-05    0.94437E+00   -0.12961E-01   -0.34500E+03
        12   -0.51090E+00   -0.47517E+00    0.19163E+01   -0.33203E+01   -0.62199E-05    0.10723E+01   -0.84708E-02   -0.74170E+03
        13   -0.24870E+00   -0.28365E+00    0.13947E+01   -0.10442E+02   -0.76720E-04    0.74195E+00   -0.14621E+00   -0.55252E+03
        14   -0.42970E+00   -0.43373E+00    0.15334E+01   -0.84668E+01   -0.30165E-03    0.64277E+00   -0.24409E+00   -0.55252E+03
        15   -0.20360E+00   -0.24854E+00    0.13874E+01   -0.11858E+02   -0.25188E-04    0.76727E+00   -0.14193E+00   -0.55252E+03
        16   -0.50170E+00   -0.50653E+00    0.19781E+01   -0.90555E+00   -0.15796E-04    0.11279E+01   -0.86460E-02   -0.62224E+03
        17   -0.37490E+00   -0.38493E+00    0.19841E+01   -0.93872E+01   -0.48451E-04    0.33329E-01   -0.28172E-02   -0.80629E+03
        18   -0.74080E+00   -0.71211E+00    0.20682E+01   -0.00000E+00   -0.30990E-02    0.25812E-02   -0.72185E-02   -0.62153E+03
        19   -0.33500E+00   -0.37428E+00    0.17045E+01   -0.48791E+01   -0.13237E-03    0.38534E+00   -0.31388E-02   -0.62153E+03
        20   -0.45320E+00   -0.42038E+00    0.23733E+01   -0.00000E+00    0.25111E-02    0.72584E+00   -0.14337E-01   -0.41589E+03
        21   -0.37710E+00   -0.37582E+00    0.18562E+01   -0.33857E+01    0.50814E-04    0.95524E+00   -0.51276E-02   -0.41589E+03
        22   -0.29730E+00   -0.25209E+00    0.15062E+01   -0.10830E+02   -0.17191E-04    0.78014E+00   -0.65215E-02   -0.78166E+03
        23   -0.17380E+00   -0.18706E+00    0.15159E+01   -0.87066E+01   -0.46663E-04    0.74438E+00   -0.74597E-02   -0.33031E+03
        24   -0.24740E+00   -0.24874E+00    0.16115E+01   -0.71723E+01   -0.22505E-03    0.57952E+00   -0.10155E-01   -0.33031E+03
        25   -0.15630E+00   -0.16230E+00    0.15116E+01   -0.98409E+01   -0.17228E-04    0.74355E+00   -0.73501E-02   -0.33031E+03
        26   -0.13960E+00   -0.14245E+00    0.11811E+01   -0.99070E+01   -0.94500E-04    0.68139E+00   -0.77789E-02   -0.51625E+03
        27   -0.24600E+00   -0.19996E+00    0.12314E+01   -0.83237E+01   -0.36120E-03    0.57431E+00   -0.96951E-02   -0.51625E+03
        28   -0.11410E+00   -0.11087E+00    0.11747E+01   -0.11266E+02   -0.30729E-04    0.71427E+00   -0.75558E-02   -0.51625E+03
        29   -0.22910E+00   -0.17586E+00    0.15109E+01   -0.90089E+01   -0.37002E-04    0.82336E+00   -0.78443E-02   -0.31405E+03
        30   -0.31450E+00   -0.25769E+00    0.16808E+01   -0.72214E+01   -0.17663E-03    0.70457E+00   -0.13169E-01   -0.31405E+03
        31   -0.17230E+00   -0.14010E+00    0.14743E+01   -0.10349E+02   -0.13797E-04    0.82111E+00   -0.69053E-02   -0.31405E+03
        32   -0.26870E+00   -0.23681E+00    0.16069E+01   -0.95674E+01   -0.13773E-04    0.79489E+00   -0.75272E-02   -0.53143E+03
        33   -0.57740E+00   -0.54720E+00    0.23025E+01   -0.20139E+01    0.12958E-05    0.98636E+00   -0.48223E-01   -0.48928E+03
        34   -0.50810E+00   -0.48775E+00    0.24241E+01   -0.00000E+00    0.26375E-02    0.77381E+00   -0.96792E-02   -0.68920E+03
        35   -0.39760E+00   -0.44824E+00    0.18951E+01   -0.34621E+01    0.48336E-04    0.96709E+00   -0.31117E-02   -0.68920E+03
        36   -0.33830E+00   -0.34228E+00    0.17108E+01   -0.81566E+01   -0.63926E-05    0.71338E+00   -0.38219E-02   -0.77305E+03
        37   -0.64700E+00   -0.65703E+00    0.22364E+01   -0.42270E+01   -0.63803E-05    0.11021E+01   -0.36873E+00   -0.23107E+03
        38   -0.43320E+00   -0.48821E+00    0.26675E+01   -0.00000E+00    0.16814E-02    0.78241E+00   -0.10998E-01   -0.26588E+03
        39   -0.39430E+00   -0.35407E+00    0.20601E+01   -0.45487E+01    0.10758E-03    0.89270E+00   -0.30210E-02   -0.26588E+03
        40   -0.68740E+00   -0.69620E+00    0.20263E+01   -0.00000E+00   -0.46980E-02    0.12562E+04   -0.91856E-02   -0.48873E+03
