     Index  y_measurement      y_fitting   descriptor_1
         1   -0.73000E-01   -0.20120E+00    0.21505E-01
         2   -0.12240E+00   -0.22533E+00    0.66838E-01
         3   -0.60000E-01   -0.54814E-01   -0.25357E+00
         4   -0.95500E-01   -0.59976E-01   -0.24387E+00
         5   -0.55200E-01   -0.48385E-01   -0.26565E+00
         6   -0.76900E-01   -0.12648E+00   -0.11891E+00
         7   -0.10770E+01   -0.82764E+00    0.11986E+01
         8   -0.36140E+00   -0.59303E+00    0.75776E+00
         9   -0.11450E+00   -0.23111E+00    0.77696E-01
        10   -0.19680E+00   -0.26608E+00    0.14340E+00
        11   -0.84900E-01   -0.19911E+00    0.17577E-01
        12   -0.51090E+00   -0.35991E+00    0.31972E+00
        13   -0.24870E+00   -0.18908E+00   -0.12714E-02
        14   -0.42970E+00   -0.25182E+00    0.11662E+00
        15   -0.20360E+00   -0.18544E+00   -0.81198E-02
        16   -0.50170E+00   -0.34965E+00    0.30044E+00
        17   -0.37490E+00   -0.48813E+00    0.56065E+00
        18   -0.74080E+00   -0.59113E+00    0.75420E+00
        19   -0.33500E+00   -0.32055E+00    0.24576E+00
        20   -0.45320E+00   -0.70288E+00    0.96418E+00
        21   -0.37710E+00   -0.36867E+00    0.33618E+00
        22   -0.29730E+00   -0.24104E+00    0.96359E-01
        23   -0.17380E+00   -0.24072E+00    0.95749E-01
        24   -0.24740E+00   -0.28348E+00    0.17610E+00
        25   -0.15630E+00   -0.23844E+00    0.91474E-01
        26   -0.13960E+00   -0.85542E-01   -0.19583E+00
        27   -0.24600E+00   -0.10763E+00   -0.15432E+00
        28   -0.11410E+00   -0.82349E-01   -0.20183E+00
        29   -0.22910E+00   -0.24609E+00    0.10585E+00
        30   -0.31450E+00   -0.32351E+00    0.25133E+00
        31   -0.17230E+00   -0.22891E+00    0.73567E-01
        32   -0.26870E+00   -0.28989E+00    0.18815E+00
        33   -0.57740E+00   -0.51387E+00    0.60902E+00
        34   -0.50810E+00   -0.72524E+00    0.10062E+01
        35   -0.39760E+00   -0.38583E+00    0.36843E+00
        36   -0.33830E+00   -0.33186E+00    0.26702E+00
        37   -0.64700E+00   -0.53277E+00    0.64454E+00
        38   -0.39430E+00   -0.49824E+00    0.57965E+00
        39   -0.68740E+00   -0.57224E+00    0.71869E+00
        40   -0.41800E+00   -0.32446E+00    0.25311E+00
        41   -0.49870E+00   -0.46741E+00    0.52171E+00
        42   -0.46700E-01   -0.14190E+00   -0.89928E-01
        43   -0.63130E+00   -0.49524E+00    0.57401E+00
