     Index  y_measurement      y_fitting   descriptor_1   descriptor_2   descriptor_3   descriptor_4
         1   -0.73000E-01   -0.95686E-01    0.14906E+01   -0.71030E-04   -0.23527E+01    0.19000E-01
         2   -0.12240E+00   -0.13169E+00    0.16066E+01   -0.12898E-03   -0.18090E+01    0.17600E+00
         3   -0.60000E-01   -0.10672E+00    0.89460E+00   -0.53260E-03   -0.26996E+01    0.28246E+01
         4   -0.95500E-01   -0.18708E+00    0.91550E+00   -0.15592E-02   -0.20757E+01    0.29894E+01
         5   -0.55200E-01   -0.74320E-01    0.87302E+00   -0.19712E-03   -0.34235E+01    0.27033E+01
         6   -0.76900E-01   -0.11612E+00    0.11687E+01    0.96347E-04   -0.14737E+01    0.25883E+01
         7   -0.10770E+01   -0.10489E+01    0.48338E+01   -0.20880E-02   -0.00000E+00    0.19630E+01
         8   -0.36140E+00   -0.36292E+00    0.38328E+01   -0.28569E-03   -0.89286E+03    0.14563E+01
         9   -0.11450E+00   -0.17709E+00    0.16310E+01   -0.96271E-04   -0.38015E+01    0.12515E+01
        10   -0.19680E+00   -0.21318E+00    0.18066E+01   -0.18774E-03   -0.29230E+01    0.10208E+01
        11   -0.84900E-01   -0.14635E+00    0.14825E+01   -0.24391E-04   -0.48209E+01    0.14342E+01
        12   -0.51090E+00   -0.44673E+00    0.23096E+01   -0.27875E-04    0.52580E+01    0.42806E+01
        13   -0.24870E+00   -0.16520E+00    0.14355E+01   -0.29008E-03   -0.36735E+01    0.17095E+01
        14   -0.42970E+00   -0.26121E+00    0.17353E+01   -0.97192E-03   -0.28246E+01    0.12991E+01
        15   -0.20360E+00   -0.14985E+00    0.14206E+01   -0.11288E-03   -0.46586E+01    0.17146E+01
        16   -0.50170E+00   -0.48243E+00    0.22513E+01   -0.70795E-04    0.35985E+01    0.54409E+01
        17   -0.37490E+00   -0.47441E+00    0.30999E+01   -0.21714E-03   -0.19433E+02    0.50060E+00
        18   -0.74080E+00   -0.71249E+00    0.30772E+01   -0.30990E-02   -0.00000E+00    0.15668E+01
        19   -0.33500E+00   -0.32968E+00    0.20902E+01   -0.35981E-03   -0.25497E+02    0.22838E+01
        20   -0.45320E+00   -0.49785E+00    0.38580E+01    0.25111E-02    0.00000E+00    0.13011E+01
        21   -0.37710E+00   -0.37290E+00    0.23598E+01    0.13813E-03    0.36944E+01    0.24459E+01
        22   -0.29730E+00   -0.21322E+00    0.16805E+01   -0.77045E-04   -0.64146E+01    0.19386E+01
        23   -0.17380E+00   -0.18576E+00    0.16774E+01   -0.17643E-03   -0.59766E+01    0.10965E+01
        24   -0.24740E+00   -0.26333E+00    0.18955E+01   -0.72512E-03   -0.45955E+01    0.89580E+00
        25   -0.15630E+00   -0.17703E+00    0.16679E+01   -0.77211E-04   -0.75793E+01    0.11118E+01
        26   -0.13960E+00   -0.14414E+00    0.10071E+01   -0.35731E-03   -0.37801E+01    0.34436E+01
        27   -0.24600E+00   -0.21381E+00    0.10949E+01   -0.11638E-02   -0.29066E+01    0.33378E+01
        28   -0.11410E+00   -0.12572E+00    0.99635E+00   -0.13772E-03   -0.47938E+01    0.34202E+01
        29   -0.22910E+00   -0.17686E+00    0.17037E+01   -0.13990E-03   -0.50456E+01    0.78070E+00
        30   -0.31450E+00   -0.27823E+00    0.21083E+01   -0.56911E-03   -0.38796E+01    0.34600E+00
        31   -0.17230E+00   -0.15821E+00    0.16220E+01   -0.61835E-04   -0.63986E+01    0.90970E+00
        32   -0.26870E+00   -0.24026E+00    0.19270E+01   -0.61724E-04   -0.74257E+01    0.12851E+01
        33   -0.57740E+00   -0.61250E+00    0.32726E+01    0.58074E-05    0.48951E+01    0.31580E+01
        34   -0.50810E+00   -0.53959E+00    0.40249E+01    0.26375E-02    0.00000E+00    0.16347E+01
        35   -0.39760E+00   -0.41309E+00    0.24600E+01    0.13139E-03    0.28446E+01    0.28940E+01
        36   -0.33830E+00   -0.31308E+00    0.21521E+01   -0.28650E-04   -0.23124E+02    0.20606E+01
        37   -0.64700E+00   -0.54796E+00    0.34023E+01   -0.28594E-04    0.71656E+01    0.74370E+00
        38   -0.39430E+00   -0.46085E+00    0.31672E+01    0.29243E-03    0.42775E+01    0.43010E+00
        39   -0.68740E+00   -0.77485E+00    0.29539E+01   -0.46980E-02    0.00000E+00    0.11221E+01
        40   -0.41800E+00   -0.43245E+00    0.21115E+01   -0.93523E-03    0.19084E+03    0.18098E+01
        41   -0.49870E+00   -0.56676E+00    0.29643E+01    0.20354E-04    0.43366E+01    0.37499E+01
        42   -0.46700E-01   -0.82458E-01    0.12323E+01   -0.21570E-04   -0.16874E+01    0.11960E+01
        43   -0.63130E+00   -0.52416E+00    0.31471E+01   -0.50165E-04    0.64744E+01    0.15315E+01
