     Index  y_measurement      y_fitting   descriptor_1   descriptor_2   descriptor_3
         1   -0.73000E-01   -0.51288E-01    0.99600E+00    0.97052E+00    0.12591E+03
         2   -0.12240E+00   -0.54352E-01    0.10378E+01    0.97685E+00    0.12128E+03
         3   -0.68400E-01   -0.36046E-01    0.78640E+00    0.98420E+00    0.13177E+03
         4   -0.60000E-01   -0.54503E-01    0.10446E+01    0.76077E+00    0.76778E+02
         5   -0.95500E-01   -0.58524E-01    0.11014E+01    0.70308E+00    0.75897E+02
         6   -0.55200E-01   -0.54155E-01    0.10389E+01    0.79485E+00    0.77721E+02
         7   -0.76900E-01   -0.78446E-01    0.13689E+01    0.10462E+01    0.19463E+03
         8   -0.10770E+01   -0.10882E+01    0.73815E+01    0.37470E+03    0.88447E+05
         9   -0.36140E+00   -0.35679E+00    0.67316E+01    0.43184E+02    0.99327E+05
        10   -0.11450E+00   -0.19017E+00    0.29097E+01    0.93601E+00    0.30147E+03
        11   -0.19680E+00   -0.20527E+00    0.31164E+01    0.94598E+00    0.28645E+03
        12   -0.84900E-01   -0.17227E+00    0.26634E+01    0.96256E+00    0.31621E+03
        13   -0.51090E+00   -0.51643E+00    0.74135E+01    0.10477E+01    0.12093E+04
        14   -0.24870E+00   -0.26286E+00    0.39306E+01    0.81956E+00    0.10057E+04
        15   -0.42970E+00   -0.30762E+00    0.45452E+01    0.74480E+00    0.91467E+03
        16   -0.20360E+00   -0.25893E+00    0.38763E+01    0.83811E+00    0.10109E+04
        17   -0.50170E+00   -0.47717E+00    0.68607E+01    0.10836E+01    0.75191E+03
        18   -0.33500E+00   -0.24331E+00    0.37123E+01    0.52953E+00    0.25580E+04
        19   -0.45320E+00   -0.45929E+00    0.66764E+01    0.80766E+00    0.27284E+04
        20   -0.37710E+00   -0.39176E+00    0.57648E+01    0.96994E+00    0.34886E+04
        21   -0.29730E+00   -0.31730E+00    0.46974E+01    0.84745E+00    0.17264E+04
        22   -0.17380E+00   -0.22559E+00    0.34280E+01    0.82135E+00    0.13530E+04
        23   -0.24740E+00   -0.25578E+00    0.38441E+01    0.69510E+00    0.12728E+04
        24   -0.15630E+00   -0.22454E+00    0.34137E+01    0.82074E+00    0.13569E+04
        25   -0.13960E+00   -0.18867E+00    0.28919E+01    0.77434E+00    0.24213E+03
        26   -0.24600E+00   -0.21288E+00    0.32265E+01    0.69092E+00    0.23223E+03
        27   -0.11410E+00   -0.18422E+00    0.28301E+01    0.79905E+00    0.24344E+03
        28   -0.22910E+00   -0.20580E+00    0.31524E+01    0.87847E+00    0.12745E+04
        29   -0.31450E+00   -0.24966E+00    0.37539E+01    0.79180E+00    0.11457E+04
        30   -0.17230E+00   -0.19656E+00    0.30264E+01    0.87687E+00    0.13062E+04
        31   -0.26870E+00   -0.28400E+00    0.42292E+01    0.85810E+00    0.13415E+04
        32   -0.57740E+00   -0.59494E+00    0.84823E+01    0.99088E+00    0.79284E+03
        33   -0.50810E+00   -0.55232E+00    0.80440E+01    0.84286E+00    0.60566E+04
        34   -0.39760E+00   -0.47571E+00    0.70337E+01    0.97793E+00    0.77471E+04
        35   -0.33830E+00   -0.33593E+00    0.49759E+01    0.79839E+00    0.25062E+04
        36   -0.64700E+00   -0.56575E+00    0.82107E+01    0.10669E+01    0.56317E+04
        37   -0.43320E+00   -0.47764E+00    0.85249E+01    0.84910E+00    0.61480E+05
        38   -0.39430E+00   -0.35138E+00    0.72812E+01    0.92712E+00    0.79608E+05
        39   -0.68740E+00   -0.64954E+00    0.61283E+01    0.11643E+03    0.32016E+04
        40   -0.41800E+00   -0.42776E+00    0.52052E+01    0.39661E+02    0.37868E+04
        41   -0.49870E+00   -0.51883E+00    0.74272E+01    0.97183E+00    0.42554E+03
        42   -0.46700E-01   -0.34566E-01    0.77340E+00    0.98834E+00    0.40582E+03
        43   -0.63130E+00   -0.53627E+00    0.77035E+01    0.11071E+01    0.19113E+04
