     Index  y_measurement      y_fitting   descriptor_1   descriptor_2   descriptor_3   descriptor_4   descriptor_5   descriptor_6
         1   -0.73000E-01   -0.75136E-01    0.99600E+00    0.97052E+00   -0.55981E+01   -0.29613E-01    0.28222E+01   -0.56338E+00
         2   -0.12240E+00   -0.11984E+00    0.11288E+01    0.97685E+00   -0.53922E+01   -0.29613E-01    0.28101E+01   -0.96484E+00
         3   -0.68400E-01   -0.21686E-01    0.78640E+00    0.98420E+00   -0.58588E+01   -0.29613E-01    0.27961E+01   -0.10569E+00
         4   -0.60000E-01   -0.79497E-01    0.21216E+01    0.76077E+00   -0.53752E+01   -0.75199E-02    0.51946E+01   -0.77976E+00
         5   -0.95500E-01   -0.96134E-01    0.22864E+01    0.70308E+00   -0.53135E+01   -0.75199E-02    0.53054E+01   -0.89570E+00
         6   -0.55200E-01   -0.70251E-01    0.20003E+01    0.79485E+00   -0.54413E+01   -0.75199E-02    0.51311E+01   -0.74142E+00
         7   -0.76900E-01   -0.61803E-01    0.13689E+01    0.10462E+01   -0.51252E+01   -0.10050E+00    0.27182E+01    0.64247E-01
         8   -0.10770E+01   -0.10914E+01    0.73815E+01    0.37470E+03   -0.11472E+02   -0.10094E+00    0.34542E+01   -0.37220E-01
         9   -0.36140E+00   -0.36246E+00    0.67316E+01    0.43184E+02   -0.12883E+02   -0.10094E+00    0.35258E+01   -0.11645E-01
        10   -0.11450E+00   -0.13737E+00    0.29097E+01    0.93601E+00   -0.93554E+01   -0.24852E-01    0.21933E+01   -0.17388E+00
        11   -0.19680E+00   -0.16641E+00    0.31164E+01    0.94598E+00   -0.88891E+01   -0.24852E-01    0.21813E+01   -0.29339E+00
        12   -0.84900E-01   -0.10871E+00    0.26634E+01    0.96256E+00   -0.98127E+01   -0.24852E-01    0.21615E+01   -0.67742E-01
        13   -0.51090E+00   -0.49647E+00    0.74135E+01    0.10477E+01   -0.73044E+01   -0.36790E-01    0.40590E+00   -0.34318E-01
        14   -0.24870E+00   -0.23461E+00    0.39306E+01    0.81956E+00   -0.84759E+01   -0.28590E+00    0.25617E+01   -0.34104E+00
        15   -0.42970E+00   -0.42447E+00    0.45452E+01    0.74480E+00   -0.77091E+01   -0.28590E+00    0.26638E+01   -0.20923E+01
        16   -0.20360E+00   -0.22745E+00    0.38763E+01    0.83811E+00   -0.85204E+01   -0.28590E+00    0.25371E+01   -0.29145E+00
        17   -0.50170E+00   -0.49611E+00    0.68607E+01    0.10836E+01   -0.54959E+01   -0.76662E-01    0.22990E+00   -0.58654E-01
        18   -0.33500E+00   -0.27717E+00    0.37123E+01    0.52953E+00   -0.66588E+01   -0.62586E-01    0.30510E+00   -0.17843E-01
        19   -0.45320E+00   -0.45644E+00    0.66764E+01    0.80766E+00   -0.60948E+01   -0.85742E-01    0.50390E+00    0.76656E-01
        20   -0.37710E+00   -0.38889E+00    0.57648E+01    0.96994E+00   -0.77929E+01   -0.85742E-01    0.38730E+00    0.72780E-02
        21   -0.29730E+00   -0.27813E+00    0.46974E+01    0.84745E+00   -0.84905E+01   -0.16949E-01    0.15781E+01   -0.14585E+00
        22   -0.17380E+00   -0.20196E+00    0.34280E+01    0.82135E+00   -0.75097E+01   -0.53118E-01    0.17460E+01   -0.70861E-01
        23   -0.24740E+00   -0.23583E+00    0.38441E+01    0.69510E+00   -0.70644E+01   -0.53118E-01    0.18537E+01   -0.14916E+00
        24   -0.15630E+00   -0.20076E+00    0.34137E+01    0.82074E+00   -0.75311E+01   -0.53118E-01    0.17465E+01   -0.70583E-01
        25   -0.13960E+00   -0.13529E+00    0.28919E+01    0.77434E+00   -0.75136E+01   -0.12151E-01    0.38955E+01   -0.63161E+00
        26   -0.24600E+00   -0.24921E+00    0.32265E+01    0.69092E+00   -0.72063E+01   -0.12151E-01    0.40099E+01   -0.17542E+01
        27   -0.11410E+00   -0.12319E+00    0.28301E+01    0.79905E+00   -0.75542E+01   -0.12151E-01    0.38628E+01   -0.52410E+00
        28   -0.22910E+00   -0.21231E+00    0.31524E+01    0.87847E+00   -0.76814E+01   -0.51924E-01    0.88220E+00   -0.58360E-01
        29   -0.31450E+00   -0.26315E+00    0.37539E+01    0.79180E+00   -0.69050E+01   -0.51924E-01    0.96560E+00   -0.14119E+00
        30   -0.17230E+00   -0.20180E+00    0.30264E+01    0.87687E+00   -0.78725E+01   -0.51924E-01    0.88370E+00   -0.55415E-01
        31   -0.26870E+00   -0.29006E+00    0.42292E+01    0.85810E+00   -0.77265E+01   -0.26892E-01    0.57460E+00   -0.87646E-01
        32   -0.57740E+00   -0.59553E+00    0.84823E+01    0.99088E+00   -0.55332E+01   -0.70003E-01    0.38100E-01    0.28173E-01
        33   -0.50810E+00   -0.52854E+00    0.80440E+01    0.84286E+00   -0.71619E+01   -0.54379E-01    0.41320E+00    0.83430E-01
        34   -0.39760E+00   -0.45195E+00    0.70337E+01    0.97793E+00   -0.91610E+01   -0.54379E-01    0.28870E+00    0.68163E-02
        35   -0.33830E+00   -0.34099E+00    0.49759E+01    0.79839E+00   -0.85635E+01   -0.26302E-01    0.12100E-01   -0.26855E-01
        36   -0.64700E+00   -0.66327E+00    0.82107E+01    0.10669E+01   -0.74830E+01   -0.18267E+01    0.13179E+01   -0.32308E-01
        37   -0.43320E+00   -0.43819E+00    0.85249E+01    0.84910E+00   -0.91858E+01   -0.15571E+00    0.34532E+01    0.34638E-01
        38   -0.39430E+00   -0.33105E+00    0.72812E+01    0.92712E+00   -0.11894E+02   -0.15571E+00    0.34048E+01    0.11009E-01
        39   -0.68740E+00   -0.64293E+00    0.61283E+01    0.11643E+03   -0.78715E+01   -0.51709E-01    0.66330E+00   -0.14844E+00
        40   -0.41800E+00   -0.40970E+00    0.52052E+01    0.39661E+02   -0.93102E+01   -0.51709E-01    0.54560E+00   -0.54788E-01
        41   -0.49870E+00   -0.51992E+00    0.74272E+01    0.97183E+00   -0.46557E+01   -0.74809E-01    0.59940E+00    0.41899E-01
        42   -0.46700E-01   -0.81444E-01    0.77340E+00    0.98834E+00   -0.79016E+01   -0.10037E+00    0.33020E+00   -0.12319E-01
