=========================================
SLURM_JOB_ID = 18034
SLURM_JOB_NODELIST = node20-100
SLURM_CPUS_ON_NODE = 1
SLURM_JOB_PARTITION = RT
SLURM_TASK_PID = 287037
==========================================
RMS: 0.250419 (valid: 0.406972), noise: 0.443426
RMS: 0.216209 (valid: 0.493473), noise: 0.399084
RMS: 0.265465 (valid: 0.417254), noise: 0.399084
RMS: 0.187327 (valid: 0.353758), noise: 0.359175
RMS: 0.245506 (valid: 0.498236), noise: 0.359175
RMS: 0.227781 (valid: 0.368618), noise: 0.323258
RMS: 0.18325 (valid: 0.311832), noise: 0.323258
RMS: 0.171597 (valid: 0.316967), noise: 0.323258
RMS: 0.112155 (valid: 0.176475), noise: 0.323258
RMS: 0.101117 (valid: 0.171666), noise: 0.323258
RMS: 0.102594 (valid: 0.16803), noise: 0.323258
RMS: 0.125916 (valid: 0.280802), noise: 0.290932
RMS: 0.142815 (valid: 0.228912), noise: 0.290932
RMS: 0.138442 (valid: 0.256539), noise: 0.261839
RMS: 0.107355 (valid: 0.150763), noise: 0.261839
RMS: 0.148613 (valid: 0.254089), noise: 0.261839
RMS: 0.100906 (valid: 0.194856), noise: 0.235655
RMS: 0.102573 (valid: 0.221388), noise: 0.235655
RMS: 0.117887 (valid: 0.215262), noise: 0.21209
RMS: 0.0976636 (valid: 0.15418), noise: 0.21209
RMS: 0.080315 (valid: 0.2121), noise: 0.21209
RMS: 0.0675768 (valid: 0.124638), noise: 0.21209
RMS: 0.0794007 (valid: 0.126088), noise: 0.21209
RMS: 0.0814087 (valid: 0.186423), noise: 0.190881
RMS: 0.0871904 (valid: 0.236059), noise: 0.190881
RMS: 0.0626224 (valid: 0.133906), noise: 0.171793
RMS: 0.0556073 (valid: 0.0980392), noise: 0.171793
RMS: 0.0496017 (valid: 0.106205), noise: 0.171793
RMS: 0.0475237 (valid: 0.0971739), noise: 0.171793
RMS: 0.0602046 (valid: 0.0950682), noise: 0.171793
RMS: 0.0413687 (valid: 0.0790057), noise: 0.154613
RMS: 0.0263787 (valid: 0.0634423), noise: 0.154613
RMS: 0.031416 (valid: 0.0634423), noise: 0.154613
RMS: 0.0235338 (valid: 0.0528988), noise: 0.139152
RMS: 0.0299818 (valid: 0.0515304), noise: 0.139152
RMS: 0.0324167 (valid: 0.0863204), noise: 0.125237
RMS: 0.0388112 (valid: 0.121706), noise: 0.125237
RMS: 0.0353079 (valid: 0.101294), noise: 0.112713
RMS: 0.032482 (valid: 0.0907876), noise: 0.112713
RMS: 0.0301222 (valid: 0.0811492), noise: 0.112713
