     Index  y_measurement      y_fitting   descriptor_1   descriptor_2   descriptor_3
         1   -0.73000E-01   -0.68068E-02    0.44864E+00    0.33670E-01    0.34001E+01
         2   -0.12240E+00   -0.19754E-01    0.49274E+00    0.30166E-01    0.33891E+01
         3   -0.68400E-01    0.21990E-01    0.38888E+00    0.15980E-01    0.33764E+01
         4   -0.60000E-01   -0.77463E-01    0.30164E+00    0.23353E+00    0.99046E+01
         5   -0.95500E-01   -0.14218E+00    0.33753E+00    0.33732E+00    0.10303E+02
         6   -0.55200E-01   -0.39747E-01    0.27589E+00    0.17619E+00    0.96899E+01
         7   -0.76900E-01   -0.14384E+00    0.10135E+01   -0.72154E-01    0.37105E+01
         8   -0.10770E+01   -0.10844E+01    0.22091E+01    0.29458E+00    0.11730E+03
         9   -0.11450E+00   -0.16180E+00    0.87422E+00    0.53167E-01    0.44315E+01
        10   -0.19680E+00   -0.18237E+00    0.93907E+00    0.51156E-01    0.44080E+01
        11   -0.84900E-01   -0.12709E+00    0.80902E+00    0.27459E-01    0.43699E+01
        12   -0.24870E+00   -0.23519E+00    0.87603E+00    0.19403E+00    0.53551E+01
        13   -0.42970E+00   -0.34366E+00    0.10102E+01    0.32075E+00    0.56174E+01
        14   -0.20360E+00   -0.21182E+00    0.86616E+00    0.15392E+00    0.52955E+01
        15   -0.37490E+00   -0.40438E+00    0.17432E+01    0.46633E+00   -0.75299E+02
        16   -0.74080E+00   -0.69191E+00    0.17503E+01    0.28966E+00    0.42460E+02
        17   -0.33500E+00   -0.36078E+00    0.14249E+01    0.60945E-01    0.80040E+01
        18   -0.45320E+00   -0.42148E+00    0.21320E+01   -0.24845E+00    0.10986E+01
        19   -0.37710E+00   -0.39463E+00    0.17201E+01   -0.24766E-01    0.10025E+01
        20   -0.29730E+00   -0.25865E+00    0.10742E+01    0.11248E+00    0.46469E+01
        21   -0.17380E+00   -0.26839E+00    0.10955E+01    0.11713E+00    0.47505E+01
        22   -0.24740E+00   -0.36198E+00    0.11931E+01    0.23750E+00    0.51639E+01
        23   -0.15630E+00   -0.26093E+00    0.10919E+01    0.10449E+00    0.47522E+01
        24   -0.13960E+00   -0.16198E+00    0.62135E+00    0.19025E+00    0.96735E+01
        25   -0.24600E+00   -0.24241E+00    0.68532E+00    0.30573E+00    0.10241E+02
        26   -0.11410E+00   -0.13746E+00    0.60991E+00    0.14948E+00    0.95227E+01
        27   -0.22910E+00   -0.23472E+00    0.10589E+01    0.92243E-01    0.18705E+01
        28   -0.31450E+00   -0.33428E+00    0.12182E+01    0.18513E+00    0.19702E+01
        29   -0.17230E+00   -0.21971E+00    0.10275E+01    0.83108E-01    0.18722E+01
        30   -0.26870E+00   -0.27240E+00    0.11849E+01    0.85633E-01    0.15240E+01
        31   -0.57740E+00   -0.54605E+00    0.21574E+01   -0.76618E-02    0.45933E-01
        32   -0.50810E+00   -0.42183E+00    0.22041E+01   -0.29363E+00    0.68594E+00
        33   -0.39760E+00   -0.41311E+00    0.17815E+01   -0.26508E-01    0.63681E+00
        34   -0.33830E+00   -0.31820E+00    0.14078E+01    0.42243E-01   -0.71026E+00
        35   -0.64700E+00   -0.54240E+00    0.20426E+01    0.47042E-01    0.24251E+01
        36   -0.43320E+00   -0.54778E+00    0.24111E+01   -0.23175E+00    0.89514E+01
        37   -0.39430E+00   -0.45171E+00    0.18911E+01   -0.73043E-01    0.85664E+01
        38   -0.68740E+00   -0.63837E+00    0.17560E+01    0.48566E+00   -0.57651E+01
        39   -0.41800E+00   -0.37753E+00    0.14749E+01    0.17520E+00   -0.98776E+01
        40   -0.49870E+00   -0.53829E+00    0.21666E+01   -0.23503E-01   -0.89606E+00
        41   -0.46700E-01   -0.48994E-02    0.45477E+00    0.18355E-01    0.45508E+01
        42   -0.63130E+00   -0.54430E+00    0.20290E+01    0.72253E-01    0.50980E+00
