     Index  y_measurement      y_fitting   descriptor_1   descriptor_2
         1   -0.73000E-01   -0.17118E+00    0.14651E+01   -0.10938E-03
         2   -0.12240E+00   -0.20203E+00    0.15210E+01   -0.12799E-03
         3   -0.68400E-01   -0.12903E+00    0.13999E+01   -0.41015E-04
         4   -0.60000E-01   -0.97537E-01    0.11350E+01   -0.82012E-03
         5   -0.95500E-01   -0.20039E+00    0.11482E+01   -0.15472E-02
         6   -0.55200E-01   -0.46727E-01    0.11212E+01   -0.48889E-03
         7   -0.76900E-01   -0.51028E-01    0.13192E+01    0.23896E-03
         8   -0.10770E+01   -0.91141E+00    0.24874E+01   -0.17812E-02
         9   -0.36140E+00   -0.56350E+00    0.22150E+01   -0.19630E-03
        10   -0.11450E+00   -0.16606E+00    0.14449E+01   -0.14824E-03
        11   -0.19680E+00   -0.20959E+00    0.15207E+01   -0.18630E-03
        12   -0.84900E-01   -0.12023E+00    0.13775E+01   -0.60494E-04
        13   -0.51090E+00   -0.39499E+00    0.19163E+01   -0.69136E-04
        14   -0.24870E+00   -0.18004E+00    0.13947E+01   -0.44668E-03
        15   -0.42970E+00   -0.31894E+00    0.15334E+01   -0.96443E-03
        16   -0.20360E+00   -0.15428E+00    0.13874E+01   -0.27997E-03
        17   -0.50170E+00   -0.44045E+00    0.19781E+01   -0.17558E-03
        18   -0.37490E+00   -0.49150E+00    0.19841E+01   -0.53855E-03
        19   -0.74080E+00   -0.81259E+00    0.20682E+01   -0.26437E-02
        20   -0.33500E+00   -0.31098E+00    0.17045E+01   -0.24722E-03
        21   -0.45320E+00   -0.33465E+00    0.23733E+01    0.21422E-02
        22   -0.37710E+00   -0.34278E+00    0.18562E+01    0.94907E-04
        23   -0.29730E+00   -0.20286E+00    0.15062E+01   -0.19108E-03
        24   -0.17380E+00   -0.21844E+00    0.15159E+01   -0.27168E-03
        25   -0.24740E+00   -0.32621E+00    0.16115E+01   -0.71953E-03
        26   -0.15630E+00   -0.20566E+00    0.15116E+01   -0.19150E-03
        27   -0.13960E+00   -0.85254E-01    0.11811E+01   -0.55020E-03
        28   -0.24600E+00   -0.19075E+00    0.12314E+01   -0.11548E-02
        29   -0.11410E+00   -0.54414E-01    0.11747E+01   -0.34156E-03
        30   -0.22910E+00   -0.20847E+00    0.15109E+01   -0.21543E-03
        31   -0.31450E+00   -0.34093E+00    0.16808E+01   -0.56472E-03
        32   -0.17230E+00   -0.18167E+00    0.14743E+01   -0.15336E-03
        33   -0.26870E+00   -0.24897E+00    0.16069E+01   -0.15309E-03
        34   -0.57740E+00   -0.58007E+00    0.23025E+01    0.14403E-04
        35   -0.39760E+00   -0.36315E+00    0.18951E+01    0.90278E-04
        36   -0.33830E+00   -0.29089E+00    0.17108E+01   -0.71056E-04
        37   -0.64700E+00   -0.55778E+00    0.22364E+01   -0.70919E-04
        38   -0.43320E+00   -0.57765E+00    0.26675E+01    0.14344E-02
        39   -0.39430E+00   -0.43231E+00    0.20601E+01    0.20093E-03
        40   -0.41800E+00   -0.36769E+00    0.17132E+01   -0.64259E-03
        41   -0.49870E+00   -0.57906E+00    0.23099E+01    0.50480E-04
        42   -0.46700E-01   -0.72334E-01    0.12850E+01   -0.53498E-04
        43   -0.63130E+00   -0.56872E+00    0.22440E+01   -0.12442E-03
