     Index  y_measurement      y_fitting   descriptor_1   descriptor_2   descriptor_3   descriptor_4   descriptor_5   descriptor_6
         1   -0.73000E-01   -0.46318E-01    0.43700E+00   -0.10938E-03   -0.17171E-03   -0.26811E-01    0.38526E+00    0.17315E+03
         2   -0.12240E+00   -0.63819E-01    0.48362E+00   -0.12799E-03   -0.46675E-03   -0.30991E-01    0.35756E+00    0.63698E+02
         3   -0.68400E-01   -0.20907E-01    0.38266E+00   -0.41015E-04   -0.63168E-04   -0.22316E-01    0.48440E+00    0.47067E+03
         4   -0.60000E-01   -0.50577E-01    0.20727E+00   -0.82012E-03   -0.24500E-03   -0.12885E-01    0.24164E+00    0.15257E+03
         5   -0.95500E-01   -0.13499E+00    0.21825E+00   -0.15472E-02   -0.66599E-03   -0.13600E-01    0.26465E+00    0.56129E+02
         6   -0.55200E-01   -0.82301E-02    0.19579E+00   -0.48889E-03   -0.90132E-04   -0.12161E-01    0.22528E+00    0.41474E+03
         7   -0.76900E-01   -0.14096E+00    0.96674E+00    0.23896E-03   -0.27321E-04   -0.66776E-02    0.91545E-01    0.19301E+03
         8   -0.10770E+01   -0.10785E+01    0.21980E+01   -0.17812E-02   -0.54293E+01   -0.47189E-02    0.36474E+00    0.27361E+04
         9   -0.36140E+00   -0.35536E+00    0.19572E+01   -0.19630E-03   -0.73477E+00   -0.26466E-02    0.16122E+00    0.20217E+05
        10   -0.11450E+00   -0.16943E+00    0.86067E+00   -0.14824E-03   -0.27313E-03   -0.16062E-01    0.70454E+00    0.27035E+03
        11   -0.19680E+00   -0.19153E+00    0.92766E+00   -0.18630E-03   -0.74245E-03   -0.19988E-01    0.48836E+00    0.99454E+02
        12   -0.84900E-01   -0.15743E+00    0.80115E+00   -0.60494E-04   -0.10048E-03   -0.12961E-01    0.17220E+01    0.73487E+03
        13   -0.51090E+00   -0.54131E+00    0.18394E+01   -0.69136E-04    0.74983E-04   -0.84708E-02    0.59442E+01   -0.86481E+03
        14   -0.24870E+00   -0.25481E+00    0.84234E+00   -0.44668E-03   -0.30561E-03   -0.14621E+00    0.42510E+00    0.24599E+03
        15   -0.42970E+00   -0.43045E+00    0.96151E+00   -0.96443E-03   -0.83073E-03   -0.24409E+00    0.23384E+01    0.90495E+02
        16   -0.20360E+00   -0.22803E+00    0.83609E+00   -0.27997E-03   -0.11243E-03   -0.14193E+00    0.36128E+00    0.66867E+03
        17   -0.50170E+00   -0.50357E+00    0.20405E+01   -0.17558E-03    0.50133E-04   -0.86460E-02    0.54420E+00   -0.62952E+03
        18   -0.37490E+00   -0.40689E+00    0.17065E+01   -0.53855E-03   -0.33043E-03   -0.28172E-02    0.97433E-01    0.32520E+04
        19   -0.74080E+00   -0.70004E+00    0.17256E+01   -0.26437E-02   -0.20174E+00   -0.72185E-02    0.85147E+00    0.61356E+02
        20   -0.33500E+00   -0.35169E+00    0.14171E+01   -0.24722E-03   -0.27303E-01   -0.31388E-02    0.18127E+01    0.45336E+03
        21   -0.45320E+00   -0.42843E+00    0.21509E+01    0.21422E-02    0.21653E-01   -0.14337E-01    0.84388E+01   -0.11074E+02
        22   -0.37710E+00   -0.37288E+00    0.17229E+01    0.94907E-04    0.29304E-02   -0.51276E-02    0.24792E+00   -0.81824E+02
        23   -0.29730E+00   -0.21741E+00    0.10550E+01   -0.19108E-03   -0.15481E-03   -0.65215E-02    0.62470E+00    0.88607E+03
        24   -0.17380E+00   -0.22767E+00    0.10748E+01   -0.27168E-03   -0.49722E-03   -0.74597E-02    0.22462E+00    0.50501E+03
        25   -0.24740E+00   -0.30589E+00    0.11564E+01   -0.71953E-03   -0.13516E-02   -0.10155E-01    0.34314E+00    0.18578E+03
        26   -0.15630E+00   -0.21019E+00    0.10711E+01   -0.19150E-03   -0.18292E-03   -0.73501E-02    0.19728E+00    0.13728E+04
        27   -0.13960E+00   -0.15136E+00    0.56921E+00   -0.55020E-03   -0.31448E-03   -0.77789E-02    0.19084E+01    0.22978E+03
        28   -0.24600E+00   -0.21167E+00    0.61201E+00   -0.11548E-02   -0.85484E-03   -0.96951E-02    0.86271E+00    0.84533E+02
        29   -0.11410E+00   -0.12782E+00    0.56382E+00   -0.34156E-03   -0.11569E-03   -0.75558E-02    0.21256E+01    0.62462E+03
        30   -0.22910E+00   -0.21378E+00    0.10424E+01   -0.21543E-03   -0.43502E-03   -0.78443E-02    0.25166E+00    0.42459E+03
        31   -0.31450E+00   -0.30338E+00    0.11892E+01   -0.56472E-03   -0.11825E-02   -0.13169E-01    0.53013E+00    0.15620E+03
        32   -0.17230E+00   -0.19075E+00    0.10108E+01   -0.15336E-03   -0.16004E-03   -0.69053E-02    0.20106E+00    0.11541E+04
        33   -0.26870E+00   -0.24462E+00    0.11688E+01   -0.15309E-03   -0.17921E-03   -0.75272E-02    0.68780E+00    0.11578E+04
        34   -0.57740E+00   -0.54344E+00    0.21590E+01    0.14403E-04    0.73030E-04   -0.48223E-01    0.85374E+00   -0.92607E+03
        35   -0.39760E+00   -0.38899E+00    0.17839E+01    0.90278E-04    0.21153E-02   -0.31117E-02    0.22967E+00   -0.55820E+02
        36   -0.33830E+00   -0.29072E+00    0.14007E+01   -0.71056E-04   -0.48197E-03   -0.38219E-02    0.12331E+01    0.34471E+04
        37   -0.64700E+00   -0.66622E+00    0.20363E+01   -0.70919E-04    0.12105E-03   -0.36873E+00    0.10911E+00   -0.17974E+04
        38   -0.43320E+00   -0.42243E+00    0.24202E+01    0.14344E-02    0.25541E-01   -0.10998E-01    0.26919E+00   -0.16285E+02
        39   -0.39430E+00   -0.40592E+00    0.18954E+01    0.20093E-03    0.34566E-02   -0.30210E-02    0.96820E-01   -0.12033E+03
        40   -0.41800E+00   -0.39769E+00    0.14566E+01   -0.64259E-03    0.16084E+00   -0.41051E-02    0.23501E+00   -0.38434E+04
        41   -0.49870E+00   -0.52811E+00    0.21730E+01    0.50480E-04    0.58037E-04   -0.31082E-01    0.51464E+00   -0.86717E+03
        42   -0.46700E-01   -0.30854E-01    0.46398E+00   -0.53498E-04   -0.30541E-04   -0.42331E-02    0.90024E-01    0.20768E+03
        43   -0.63130E+00   -0.58812E+00    0.20164E+01   -0.12442E-03    0.94461E-04   -0.20870E+00    0.12212E+00   -0.16471E+04
