     Index  y_measurement      y_fitting   descriptor_1   descriptor_2   descriptor_3
         1   -0.73000E-01   -0.27881E+00    0.12212E+00    0.19806E+02    0.17585E+00
         2   -0.12240E+00   -0.27881E+00    0.12212E+00    0.19806E+02    0.17585E+00
         3   -0.68400E-01   -0.27881E+00    0.12212E+00    0.19806E+02    0.17585E+00
         4   -0.60000E-01   -0.27881E+00    0.12212E+00    0.19806E+02    0.17585E+00
         5   -0.95500E-01   -0.27881E+00    0.12212E+00    0.19806E+02    0.17585E+00
         6   -0.55200E-01   -0.27881E+00    0.12212E+00    0.19806E+02    0.17585E+00
         7   -0.76900E-01   -0.33349E+00    0.12059E+00    0.27148E+02    0.17956E+00
         8   -0.10770E+01   -0.47211E+00    0.11771E+00    0.81429E+01    0.15067E+00
         9   -0.36140E+00   -0.47211E+00    0.11771E+00    0.81429E+01    0.15067E+00
        10   -0.19680E+00   -0.47211E+00    0.11771E+00    0.81429E+01    0.15067E+00
        11   -0.51090E+00   -0.50080E+00    0.11537E+00    0.55683E+02    0.18343E+00
        12   -0.24870E+00   -0.28494E+00    0.12212E+00    0.12035E+02    0.16547E+00
        13   -0.42970E+00   -0.28494E+00    0.12212E+00    0.12035E+02    0.16547E+00
        14   -0.20360E+00   -0.28494E+00    0.12212E+00    0.12035E+02    0.16547E+00
        15   -0.50170E+00   -0.62045E+00    0.10529E+00    0.19054E+03    0.18299E+00
        16   -0.37490E+00   -0.51531E+00    0.11669E+00    0.77554E+01    0.14819E+00
        17   -0.74080E+00   -0.26244E+00    0.12262E+00    0.14667E+02    0.17044E+00
        18   -0.33500E+00   -0.26244E+00    0.12262E+00    0.14667E+02    0.17044E+00
        19   -0.45320E+00   -0.29751E+00    0.12160E+00    0.22469E+02    0.17754E+00
        20   -0.37710E+00   -0.29751E+00    0.12160E+00    0.22469E+02    0.17754E+00
        21   -0.29730E+00   -0.29097E+00    0.12198E+00    0.11709E+02    0.16467E+00
        22   -0.17380E+00   -0.27140E+00    0.12243E+00    0.13084E+02    0.16773E+00
        23   -0.24740E+00   -0.27140E+00    0.12243E+00    0.13084E+02    0.16773E+00
        24   -0.15630E+00   -0.27140E+00    0.12243E+00    0.13084E+02    0.16773E+00
        25   -0.13960E+00   -0.26399E+00    0.12259E+00    0.14250E+02    0.16979E+00
        26   -0.24600E+00   -0.26399E+00    0.12259E+00    0.14250E+02    0.16979E+00
        27   -0.11410E+00   -0.26399E+00    0.12259E+00    0.14250E+02    0.16979E+00
        28   -0.22910E+00   -0.30551E+00    0.12164E+00    0.11091E+02    0.16299E+00
        29   -0.31450E+00   -0.30551E+00    0.12164E+00    0.11091E+02    0.16299E+00
        30   -0.17230E+00   -0.30551E+00    0.12164E+00    0.11091E+02    0.16299E+00
        31   -0.26870E+00   -0.30551E+00    0.12164E+00    0.11091E+02    0.16299E+00
        32   -0.57740E+00   -0.55038E+00    0.11347E+00    0.70213E+02    0.18382E+00
        33   -0.50810E+00   -0.29751E+00    0.12160E+00    0.22469E+02    0.17754E+00
        34   -0.39760E+00   -0.29751E+00    0.12160E+00    0.22469E+02    0.17754E+00
        35   -0.33830E+00   -0.27973E+00    0.12224E+00    0.12372E+02    0.16624E+00
        36   -0.64700E+00   -0.30902E+00    0.12128E+00    0.23963E+02    0.17829E+00
        37   -0.43320E+00   -0.30551E+00    0.12164E+00    0.11091E+02    0.16299E+00
        38   -0.39430E+00   -0.30551E+00    0.12164E+00    0.11091E+02    0.16299E+00
        39   -0.68740E+00   -0.26244E+00    0.12262E+00    0.14667E+02    0.17044E+00
        40   -0.41800E+00   -0.26244E+00    0.12262E+00    0.14667E+02    0.17044E+00
        41   -0.49870E+00   -0.45287E+00    0.10079E+00    0.34104E+03    0.18142E+00
        42   -0.46700E-01   -0.30551E+00    0.12164E+00    0.11091E+02    0.16299E+00
        43   -0.63130E+00   -0.51782E+00    0.11475E+00    0.60099E+02    0.18360E+00
