     Index  y_measurement      y_fitting   descriptor_1   descriptor_2   descriptor_3   descriptor_4   descriptor_5
         1   -0.73000E-01   -0.76786E-01   -0.11013E+02    0.26444E+01    0.59990E+00   -0.93236E+02    0.23134E+01
         2   -0.12240E+00   -0.11238E+00   -0.97023E+01    0.26477E+01    0.61200E+00   -0.93236E+02    0.23092E+01
         3   -0.68400E-01   -0.40413E-01   -0.12460E+02    0.26514E+01    0.62600E+00   -0.93236E+02    0.23043E+01
         4   -0.60000E-01   -0.59909E-01   -0.11720E+02    0.24236E+01    0.16734E+01    0.30309E+03    0.31477E+01
         5   -0.95500E-01   -0.10679E+00   -0.10180E+02    0.23899E+01    0.17842E+01    0.30309E+03    0.32101E+01
         6   -0.55200E-01   -0.14235E-01   -0.13313E+02    0.24429E+01    0.16099E+01    0.30309E+03    0.31141E+01
         7   -0.76900E-01   -0.48627E-01   -0.19961E+02    0.26586E+01    0.23087E+01   -0.73143E+03    0.57394E+00
         8   -0.10770E+01   -0.10901E+01   -0.00000E+00    0.17458E+02    0.17840E+00   -0.30688E+03    0.19720E+03
         9   -0.36140E+00   -0.36532E+00   -0.35266E+01    0.46722E+01    0.25000E+00   -0.30688E+03    0.11684E+02
        10   -0.11450E+00   -0.15818E+00   -0.92871E+01    0.26016E+01    0.92020E+00   -0.18629E+03    0.41754E+01
        11   -0.19680E+00   -0.18677E+00   -0.81839E+01    0.26067E+01    0.90820E+00   -0.18629E+03    0.41623E+01
        12   -0.84900E-01   -0.12385E+00   -0.10522E+02    0.26152E+01    0.88840E+00   -0.18629E+03    0.41410E+01
        13   -0.51090E+00   -0.50666E+00   -0.32838E+01    0.26329E+01    0.36806E+01   -0.29973E+03   -0.44275E+01
        14   -0.24870E+00   -0.29018E+00   -0.95817E+01    0.27228E+01    0.27845E+01   -0.27097E+03    0.51728E+01
        15   -0.42970E+00   -0.32920E+00   -0.83096E+01    0.26805E+01    0.28866E+01   -0.27097E+03    0.53249E+01
        16   -0.20360E+00   -0.25550E+00   -0.10843E+02    0.27330E+01    0.27599E+01   -0.27097E+03    0.51383E+01
        17   -0.50170E+00   -0.46707E+00   -0.12945E+01    0.23600E+01    0.24884E+01   -0.25251E+03   -0.23148E+01
        18   -0.37490E+00   -0.42320E+00   -0.67357E+01    0.20483E+01    0.24801E+01   -0.53324E+03    0.63403E+02
        19   -0.74080E+00   -0.69678E+00   -0.00000E+00    0.17017E+01    0.10773E+01   -0.47715E+03    0.26345E+03
        20   -0.33500E+00   -0.38679E+00   -0.46805E+01    0.22922E+01    0.11931E+01   -0.47715E+03    0.56879E+02
        21   -0.45320E+00   -0.43109E+00   -0.00000E+00    0.27877E+01    0.13771E+01   -0.20428E+03   -0.73648E+01
        22   -0.37710E+00   -0.38106E+00   -0.23101E+01    0.28739E+01    0.14937E+01   -0.20428E+03   -0.68435E+01
        23   -0.29730E+00   -0.28229E+00   -0.10243E+02    0.25901E+01    0.24723E+01   -0.48116E+03    0.71528E+01
        24   -0.17380E+00   -0.24905E+00   -0.70783E+01    0.30042E+01    0.11542E+01   -0.18661E+03    0.71891E+01
        25   -0.24740E+00   -0.27988E+00   -0.61007E+01    0.29317E+01    0.12619E+01   -0.18661E+03    0.76250E+01
        26   -0.13960E+00   -0.21216E+00   -0.10099E+02    0.25111E+01    0.22826E+01   -0.11705E+03    0.47204E+01
        27   -0.24600E+00   -0.25380E+00   -0.87500E+01    0.24624E+01    0.23970E+01   -0.11705E+03    0.48738E+01
        28   -0.22910E+00   -0.20861E+00   -0.75027E+01    0.28060E+01    0.83030E+00   -0.18734E+03    0.59002E+01
        29   -0.31450E+00   -0.23910E+00   -0.65025E+01    0.27586E+01    0.91370E+00   -0.18734E+03    0.61167E+01
        30   -0.17230E+00   -0.18335E+00   -0.84594E+01    0.28051E+01    0.83180E+00   -0.18734E+03    0.59039E+01
        31   -0.26870E+00   -0.21683E+00   -0.90343E+01    0.25215E+01    0.13803E+01   -0.32505E+03    0.73641E+01
        32   -0.57740E+00   -0.59854E+00   -0.22794E+01    0.27131E+01    0.49956E+01   -0.14903E+03   -0.42882E+01
        33   -0.50810E+00   -0.50949E+00   -0.00000E+00    0.28362E+01    0.21809E+01   -0.35515E+03   -0.63854E+01
        34   -0.39760E+00   -0.45760E+00   -0.23736E+01    0.29071E+01    0.23054E+01   -0.35515E+03   -0.60234E+01
        35   -0.33830E+00   -0.25904E+00   -0.78998E+01    0.23993E+01    0.88170E+00   -0.53504E+03    0.23203E+02
        36   -0.64700E+00   -0.58537E+00   -0.18747E+01    0.34079E+01    0.44292E+01   -0.94494E+02   -0.68584E+01
        37   -0.43320E+00   -0.45464E+00   -0.00000E+00    0.32701E+01    0.16724E+01   -0.14731E+03   -0.10857E+02
        38   -0.39430E+00   -0.41351E+00   -0.17428E+01    0.33115E+01    0.17208E+01   -0.14731E+03   -0.10454E+02
        39   -0.68740E+00   -0.67860E+00   -0.00000E+00    0.12782E+02    0.16335E+01   -0.26897E+03   -0.12903E+03
        40   -0.41800E+00   -0.39349E+00   -0.38414E+01    0.82896E+01    0.15158E+01   -0.26897E+03   -0.14814E+03
        41   -0.49870E+00   -0.54276E+00   -0.15669E+01    0.27582E+01    0.38760E+01   -0.12057E+03   -0.31960E+01
        42   -0.46700E-01   -0.59570E-01   -0.18721E+02    0.25987E+01    0.77600E+00   -0.12479E+04    0.73650E+00
        43   -0.63130E+00   -0.59970E+00   -0.15045E+01    0.34682E+01    0.44912E+01   -0.75037E+02   -0.55024E+01
