     Index  y_measurement      y_fitting   descriptor_1   descriptor_2
         1   -0.73000E-01   -0.86849E-01    0.44864E+00    0.29927E-01
         2   -0.12240E+00   -0.97441E-01    0.49274E+00    0.23423E-01
         3   -0.68400E-01   -0.71906E-01    0.38888E+00    0.15923E-01
         4   -0.95500E-01   -0.68119E-01    0.33753E+00    0.35410E+00
         5   -0.55200E-01   -0.49874E-01    0.27589E+00    0.23011E+00
         6   -0.10770E+01   -0.10146E+01    0.22091E+01    0.19305E+02
         7   -0.36140E+00   -0.62109E+00    0.19613E+01    0.64193E+01
         8   -0.11450E+00   -0.19162E+00    0.87422E+00    0.66143E-01
         9   -0.19680E+00   -0.20717E+00    0.93907E+00    0.55536E-01
        10   -0.84900E-01   -0.17499E+00    0.80902E+00    0.38160E-01
        11   -0.51090E+00   -0.42847E+00    0.18470E+01    0.46570E-01
        12   -0.24870E+00   -0.19551E+00    0.87603E+00    0.19931E+00
        13   -0.42970E+00   -0.23074E+00    0.10102E+01    0.29571E+00
        14   -0.20360E+00   -0.19252E+00    0.86616E+00    0.17684E+00
        15   -0.50170E+00   -0.48195E+00    0.20626E+01    0.80276E-01
        16   -0.37490E+00   -0.47394E+00    0.17432E+01    0.27855E+01
        17   -0.74080E+00   -0.58857E+00    0.17503E+01    0.71528E+01
        18   -0.33500E+00   -0.34099E+00    0.14249E+01    0.64652E+00
        19   -0.45320E+00   -0.50234E+00    0.21320E+01    0.21402E+00
        20   -0.37710E+00   -0.39709E+00    0.17201E+01    0.30527E-01
        21   -0.29730E+00   -0.24299E+00    0.10742E+01    0.16571E+00
        22   -0.17380E+00   -0.24900E+00    0.10955E+01    0.19712E+00
        23   -0.24740E+00   -0.27717E+00    0.11931E+01    0.36571E+00
        24   -0.15630E+00   -0.24814E+00    0.10919E+01    0.19787E+00
        25   -0.13960E+00   -0.13484E+00    0.62135E+00    0.25645E+00
        26   -0.24600E+00   -0.15344E+00    0.68532E+00    0.37184E+00
        27   -0.11410E+00   -0.13124E+00    0.60991E+00    0.22480E+00
        28   -0.22910E+00   -0.23833E+00    0.10589E+01    0.12967E+00
        29   -0.31450E+00   -0.27989E+00    0.12182E+01    0.23398E+00
        30   -0.17230E+00   -0.23071E+00    0.10275E+01    0.13149E+00
        31   -0.26870E+00   -0.26968E+00    0.11849E+01    0.15318E+00
        32   -0.57740E+00   -0.50324E+00    0.21574E+01    0.91586E-02
        33   -0.50810E+00   -0.51882E+00    0.22041E+01    0.17116E+00
        34   -0.39760E+00   -0.41186E+00    0.17815E+01    0.22313E-01
        35   -0.33830E+00   -0.32594E+00    0.14078E+01    0.22564E+00
        36   -0.64700E+00   -0.47667E+00    0.20426E+01    0.64810E-01
        37   -0.43320E+00   -0.56914E+00    0.24111E+01    0.16376E+00
        38   -0.39430E+00   -0.43998E+00    0.18911E+01    0.75690E-01
        39   -0.68740E+00   -0.68158E+00    0.17560E+01    0.10697E+02
        40   -0.41800E+00   -0.49516E+00    0.14749E+01    0.61389E+01
        41   -0.49870E+00   -0.50598E+00    0.21666E+01    0.28575E-01
        42   -0.46700E-01   -0.87875E-01    0.45477E+00    0.11733E-01
        43   -0.63130E+00   -0.47430E+00    0.20290E+01    0.10181E+00
