     Index  y_measurement      y_fitting   descriptor_1   descriptor_2   descriptor_3   descriptor_4   descriptor_5   descriptor_6
         1   -0.73000E-01   -0.74292E-01    0.40735E+00   -0.25532E-02   -0.20662E+00    0.79427E-03    0.12454E-02   -0.12944E+00
         2   -0.12240E+00   -0.14225E+00    0.45132E+00   -0.69402E-02   -0.23639E+00    0.22656E-02    0.28848E-02   -0.12986E+00
         3   -0.68400E-01   -0.35658E-01    0.34730E+00   -0.93926E-03   -0.18376E+00    0.24485E-03    0.54305E-03   -0.13035E+00
         4   -0.60000E-01   -0.89860E-01    0.46376E+00   -0.28611E-02   -0.21326E+00    0.15747E-02    0.79504E-03   -0.10227E+00
         5   -0.95500E-01   -0.15344E+00    0.49338E+00   -0.77772E-02   -0.24399E+00    0.38063E-02    0.18416E-02   -0.98315E-01
         6   -0.55200E-01   -0.61777E-01    0.44160E+00   -0.10525E-02   -0.18966E+00    0.65469E-03    0.34668E-03   -0.10453E+00
         7   -0.76900E-01   -0.10279E+00    0.33872E+00   -0.10330E-02   -0.27996E-01    0.11345E-02    0.57304E-02   -0.12219E+00
         8   -0.36140E+00   -0.37273E+00    0.19681E+01   -0.40748E-02   -0.10389E+00   -0.11563E-01    0.23031E-04    0.39975E+01
         9   -0.11450E+00   -0.17128E+00    0.79929E+00   -0.21084E-02   -0.19380E+00    0.42758E-03    0.74907E-03   -0.15393E+00
        10   -0.19680E+00   -0.23041E+00    0.86374E+00   -0.57313E-02   -0.22173E+00    0.16330E-02    0.17351E-02   -0.15475E+00
        11   -0.84900E-01   -0.13731E+00    0.73304E+00   -0.77564E-03   -0.17235E+00    0.67808E-04    0.32663E-03   -0.15610E+00
        12   -0.51090E+00   -0.49147E+00    0.20198E+01   -0.98148E-04   -0.92317E-01   -0.13440E-04   -0.40321E-03   -0.12870E+01
        13   -0.24870E+00   -0.27253E+00    0.76247E+00   -0.24855E-02   -0.63260E+01   -0.82053E-03    0.61330E-03   -0.12218E+00
        14   -0.42970E+00   -0.36653E+00    0.90199E+00   -0.67564E-02   -0.72374E+01   -0.39488E-03    0.14206E-02   -0.11648E+00
        15   -0.20360E+00   -0.24464E+00    0.75132E+00   -0.91438E-03   -0.56259E+01   -0.37422E-03    0.26743E-03   -0.12356E+00
        16   -0.50170E+00   -0.52970E+00    0.22908E+01    0.17902E-03   -0.54609E-01    0.14341E-03   -0.10319E-02    0.71759E+00
        17   -0.37490E+00   -0.39691E+00    0.17174E+01   -0.50156E-03   -0.16282E+00   -0.97763E-03    0.91866E-04   -0.79183E-01
        18   -0.74080E+00   -0.70576E+00    0.17483E+01   -0.35529E-01   -0.89474E-01    0.11616E-01    0.20598E-02   -0.70716E-01
        19   -0.33500E+00   -0.34776E+00    0.14143E+01   -0.48083E-02   -0.71579E-01   -0.13382E-02    0.75776E-03   -0.37514E+00
        20   -0.45320E+00   -0.46451E+00    0.22981E+01   -0.10046E-01   -0.14359E+00   -0.86816E-03   -0.13033E-01   -0.16385E+01
        21   -0.37710E+00   -0.37729E+00    0.19021E+01   -0.13596E-02   -0.11487E+00   -0.72473E-02   -0.47948E-02   -0.17955E+01
        22   -0.29730E+00   -0.20528E+00    0.98674E+00   -0.79037E-03   -0.23649E+00   -0.21642E-03    0.20858E-03   -0.14374E+00
