    0.20048E-01    0.27102E+01    0.27662E+01    0.66846E+01    0.27662E+01    0.67406E+01   -0.48737E-01    0.54303E-01    0.28222E+01    0.27102E+01    0.34263E+02
   -0.20570E-01    0.27223E+01    0.27662E+01    0.65518E+01    0.27662E+01    0.65957E+01   -0.44567E-01    0.42570E-01    0.28101E+01    0.27223E+01    0.34263E+02
    0.33330E-02    0.27363E+01    0.27662E+01    0.68942E+01    0.27662E+01    0.69241E+01   -0.20535E-01    0.28994E-01    0.27961E+01    0.27363E+01    0.34263E+02
    0.35441E-01    0.43548E+01    0.47747E+01    0.83636E+01    0.47747E+01    0.87835E+01    0.10699E+00   -0.33311E+00    0.51946E+01    0.43548E+01    0.65286E+02
    0.52300E-02    0.42440E+01    0.47747E+01    0.81988E+01    0.47747E+01    0.87295E+01    0.10656E+00   -0.42100E+00    0.53054E+01    0.42440E+01    0.65286E+02
    0.38242E-01    0.44183E+01    0.47747E+01    0.84849E+01    0.47747E+01    0.88413E+01    0.11141E+00   -0.28273E+00    0.51311E+01    0.44183E+01    0.65286E+02
    0.43900E-01    0.27182E+01    0.28924E+01    0.82653E+01    0.25440E+01    0.80911E+01    0.48706E-01   -0.52103E+00    0.27182E+01    0.50940E+01    0.67032E+02
    0.27500E-01    0.36822E+01    0.35682E+01    0.41049E+01    0.35682E+01    0.39909E+01   -0.64237E+00    0.99154E+00    0.34542E+01    0.36822E+01    0.61030E+02
    0.33940E-01    0.36106E+01    0.35682E+01    0.34550E+01    0.35682E+01    0.34126E+01   -0.21440E+00    0.36878E+00    0.35258E+01    0.36106E+01    0.61030E+02
    0.23100E-01    0.20415E+01    0.21174E+01    0.49933E+01    0.21174E+01    0.50692E+01   -0.92287E-01    0.12542E+00    0.21933E+01    0.20415E+01    0.28215E+02
   -0.33870E-01    0.20535E+01    0.21174E+01    0.47866E+01    0.21174E+01    0.48505E+01   -0.91671E-01    0.10559E+00    0.21813E+01    0.20535E+01    0.28215E+02
