     Index  y_measurement      y_fitting   descriptor_1
         1   -0.73000E-01   -0.12932E+00    0.73061E+00
         2   -0.12240E+00   -0.14351E+00    0.77563E+00
         3   -0.68400E-01   -0.11111E+00    0.67283E+00
         4   -0.60000E-01   -0.99219E-01    0.63510E+00
         5   -0.95500E-01   -0.10647E+00    0.65810E+00
         6   -0.76900E-01    0.33772E-01    0.21313E+00
         7   -0.10770E+01   -0.59703E+00    0.22146E+01
         8   -0.36140E+00   -0.51779E+00    0.19632E+01
         9   -0.11450E+00   -0.20940E+00    0.98470E+00
        10   -0.19680E+00   -0.23001E+00    0.10501E+01
        11   -0.84900E-01   -0.18934E+00    0.92106E+00
        12   -0.51090E+00   -0.47597E+00    0.18305E+01
        13   -0.24870E+00   -0.20112E+00    0.95842E+00
        14   -0.42970E+00   -0.24221E+00    0.10888E+01
        15   -0.20360E+00   -0.19830E+00    0.94948E+00
        16   -0.50170E+00   -0.56081E+00    0.20997E+01
        17   -0.37490E+00   -0.44606E+00    0.17356E+01
        18   -0.74080E+00   -0.45073E+00    0.17504E+01
        19   -0.33500E+00   -0.34839E+00    0.14257E+01
        20   -0.45320E+00   -0.57380E+00    0.21409E+01
        21   -0.37710E+00   -0.44426E+00    0.17299E+01
        22   -0.29730E+00   -0.24918E+00    0.11109E+01
        23   -0.17380E+00   -0.25642E+00    0.11339E+01
        24   -0.24740E+00   -0.28624E+00    0.12285E+01
        25   -0.15630E+00   -0.25529E+00    0.11303E+01
        26   -0.13960E+00   -0.14317E+00    0.77454E+00
        27   -0.24600E+00   -0.16065E+00    0.83002E+00
        28   -0.11410E+00   -0.14032E+00    0.76552E+00
        29   -0.22910E+00   -0.24082E+00    0.10844E+01
        30   -0.31450E+00   -0.29062E+00    0.12424E+01
        31   -0.17230E+00   -0.23090E+00    0.10529E+01
        32   -0.26870E+00   -0.27653E+00    0.11977E+01
        33   -0.57740E+00   -0.57944E+00    0.21588E+01
        34   -0.50810E+00   -0.59583E+00    0.22108E+01
        35   -0.39760E+00   -0.46283E+00    0.17888E+01
        36   -0.64700E+00   -0.55533E+00    0.20823E+01
        37   -0.43320E+00   -0.67572E+00    0.24643E+01
        38   -0.39430E+00   -0.51259E+00    0.19467E+01
        39   -0.68740E+00   -0.45189E+00    0.17541E+01
        40   -0.41800E+00   -0.36355E+00    0.14738E+01
        41   -0.49870E+00   -0.56794E+00    0.21223E+01
        42   -0.46700E-01   -0.26444E-01    0.40419E+00
        43   -0.63130E+00   -0.54241E+00    0.20413E+01
