     Index  y_measurement      y_fitting   descriptor_1   descriptor_2   descriptor_3   descriptor_4   descriptor_5   descriptor_6
         1   -0.73000E-01   -0.78436E-01   -0.11088E+02    0.97052E+00    0.59990E+00   -0.52472E+00   -0.49291E+02   -0.18572E+00
         2   -0.12240E+00   -0.12351E+00   -0.97537E+01    0.97685E+00    0.61200E+00   -0.52386E+00   -0.57497E+02   -0.23691E+00
         3   -0.68400E-01   -0.39575E-01   -0.12505E+02    0.98420E+00    0.62600E+00   -0.52287E+00   -0.38898E+02   -0.34784E+00
         4   -0.60000E-01   -0.43666E-01   -0.12278E+02    0.76077E+00    0.16734E+01   -0.40943E+00    0.36715E+02   -0.62332E-02
         5   -0.95500E-01   -0.97349E-01   -0.10801E+02    0.70308E+00    0.17842E+01   -0.41823E+00    0.28934E+02   -0.49318E-02
         6   -0.76900E-01   -0.75211E-01   -0.19700E+02    0.10462E+01    0.23087E+01   -0.26842E+01   -0.11184E+00    0.23474E-01
         7   -0.10770E+01   -0.10845E+01   -0.00000E+00    0.37470E+03    0.17840E+00   -0.57886E+00   -0.24778E+02   -0.24862E+00
         8   -0.36140E+00   -0.35184E+00   -0.35690E+01    0.43184E+02    0.25000E+00   -0.51750E+00   -0.22235E+02   -0.66845E+00
         9   -0.11450E+00   -0.15814E+00   -0.93881E+01    0.93601E+00    0.92020E+00   -0.51464E+00   -0.75021E+02   -0.11686E+00
        10   -0.19680E+00   -0.19802E+00   -0.82587E+01    0.94598E+00    0.90820E+00   -0.51326E+00   -0.88515E+02   -0.13881E+00
        11   -0.84900E-01   -0.11723E+00   -0.10588E+02    0.96256E+00    0.88840E+00   -0.51101E+00   -0.61786E+02   -0.20113E+00
        12   -0.51090E+00   -0.50564E+00   -0.33594E+01    0.10477E+01    0.36806E+01   -0.67361E+00   -0.57856E+02   -0.24872E+00
        13   -0.24870E+00   -0.28684E+00   -0.98859E+01    0.81956E+00    0.27845E+01   -0.42139E+00   -0.13983E+03   -0.28933E-01
        14   -0.42970E+00   -0.36519E+00   -0.86966E+01    0.74480E+00    0.28866E+01   -0.43223E+00   -0.20368E+03   -0.20003E-01
        15   -0.20360E+00   -0.24745E+00   -0.11149E+02    0.83811E+00    0.27599E+01   -0.41893E+00   -0.13613E+03   -0.32421E-01
        16   -0.50170E+00   -0.49099E+00   -0.14865E+01    0.10836E+01    0.24884E+01   -0.11701E+01   -0.90846E+01   -0.12725E+00
        17   -0.37490E+00   -0.43243E+00   -0.73247E+01    0.10357E+00    0.24801E+01   -0.11785E+01   -0.19553E+03   -0.34416E-01
        18   -0.74080E+00   -0.72969E+00   -0.00000E+00    0.18817E-01    0.10773E+01   -0.47542E+01   -0.15609E+02   -0.63221E-01
        19   -0.33500E+00   -0.33756E+00   -0.47339E+01    0.52953E+00    0.11931E+01   -0.13616E+01   -0.11193E+02   -0.20032E+00
        20   -0.45320E+00   -0.45696E+00   -0.00000E+00    0.80766E+00    0.13771E+01   -0.11108E+01   -0.24479E+02    0.19091E+00
        21   -0.37710E+00   -0.35250E+00   -0.22896E+01    0.96994E+00    0.14937E+01   -0.10597E+01   -0.17405E+02    0.12768E+01
        22   -0.29730E+00   -0.27049E+00   -0.10452E+02    0.84745E+00    0.24723E+01   -0.44860E+00   -0.16710E+03   -0.39036E-01
        23   -0.17380E+00   -0.22997E+00   -0.72633E+01    0.82135E+00    0.11542E+01   -0.64958E+00   -0.52120E+02   -0.13476E+00
        24   -0.24740E+00   -0.26749E+00   -0.63895E+01    0.69510E+00    0.12619E+01   -0.67924E+00   -0.62591E+02   -0.75954E-01
        25   -0.15630E+00   -0.20350E+00   -0.81916E+01    0.82074E+00    0.11547E+01   -0.64971E+00   -0.51618E+02   -0.13428E+00
        26   -0.13960E+00   -0.15757E+00   -0.10473E+02    0.77434E+00    0.22826E+01   -0.43266E+00   -0.23115E+01   -0.14108E-01
        27   -0.24600E+00   -0.21674E+00   -0.92134E+01    0.69092E+00    0.23970E+01   -0.44616E+00   -0.28822E+02   -0.10034E-01
        28   -0.11410E+00   -0.11551E+00   -0.11812E+02    0.79905E+00    0.22499E+01   -0.42908E+00    0.11919E+01   -0.15961E-01
        29   -0.22910E+00   -0.20007E+00   -0.76494E+01    0.87847E+00    0.83030E+00   -0.63879E+00   -0.53004E+02   -0.16719E+00
        30   -0.31450E+00   -0.24028E+00   -0.67291E+01    0.79180E+00    0.91370E+00   -0.65637E+00   -0.70556E+02   -0.95202E-01
        31   -0.17230E+00   -0.16994E+00   -0.86271E+01    0.87687E+00    0.83180E+00   -0.63909E+00   -0.48685E+02   -0.16494E+00
        32   -0.26870E+00   -0.20798E+00   -0.92018E+01    0.85810E+00    0.13803E+01   -0.56179E+00   -0.97938E+02   -0.88331E-01
        33   -0.57740E+00   -0.55382E+00   -0.22637E+01    0.99088E+00    0.49956E+01   -0.61536E+00   -0.10153E+03    0.21151E+01
