     Index  y_measurement      y_fitting   descriptor_1   descriptor_2
         1   -0.73000E-01   -0.91289E-01    0.40735E+00    0.29927E-01
         2   -0.12240E+00   -0.10035E+00    0.45132E+00    0.23423E-01
         3   -0.68400E-01   -0.78256E-01    0.34730E+00    0.15923E-01
         4   -0.60000E-01   -0.11014E+00    0.46376E+00    0.27428E+00
         5   -0.95500E-01   -0.11865E+00    0.49338E+00    0.35410E+00
         6   -0.55200E-01   -0.10421E+00    0.44160E+00    0.23011E+00
         7   -0.76900E-01   -0.77285E-01    0.33872E+00    0.45129E-01
         8   -0.10770E+01   -0.10251E+01    0.22290E+01    0.19305E+02
         9   -0.36140E+00   -0.60214E+00    0.19681E+01    0.64193E+01
        10   -0.11450E+00   -0.17478E+00    0.79929E+00    0.66143E-01
        11   -0.19680E+00   -0.18803E+00    0.86374E+00    0.55536E-01
        12   -0.84900E-01   -0.16004E+00    0.73304E+00    0.38160E-01
        13   -0.51090E+00   -0.43098E+00    0.20198E+01    0.46570E-01
        14   -0.24870E+00   -0.17083E+00    0.76247E+00    0.19931E+00
        15   -0.20360E+00   -0.16785E+00    0.75132E+00    0.17684E+00
        16   -0.50170E+00   -0.48895E+00    0.22908E+01    0.80276E-01
        17   -0.37490E+00   -0.44560E+00    0.17174E+01    0.27855E+01
        18   -0.74080E+00   -0.57685E+00    0.17483E+01    0.71528E+01
        19   -0.33500E+00   -0.32073E+00    0.14143E+01    0.64652E+00
        20   -0.45320E+00   -0.49431E+00    0.22981E+01    0.21402E+00
        21   -0.37710E+00   -0.40576E+00    0.19021E+01    0.30527E-01
        22   -0.29730E+00   -0.21705E+00    0.98674E+00    0.16571E+00
        23   -0.17380E+00   -0.21167E+00    0.95689E+00    0.19712E+00
        24   -0.24740E+00   -0.23936E+00    0.10656E+01    0.36571E+00
        25   -0.15630E+00   -0.21095E+00    0.95334E+00    0.19787E+00
        26   -0.24600E+00   -0.16125E+00    0.69348E+00    0.37184E+00
        27   -0.11410E+00   -0.14131E+00    0.61868E+00    0.22480E+00
        28   -0.22910E+00   -0.19621E+00    0.89257E+00    0.12967E+00
        29   -0.31450E+00   -0.23446E+00    0.10602E+01    0.23398E+00
        30   -0.17230E+00   -0.18968E+00    0.86127E+00    0.13149E+00
        31   -0.57740E+00   -0.51197E+00    0.24099E+01    0.91586E-02
        32   -0.50810E+00   -0.51425E+00    0.23987E+01    0.17116E+00
        33   -0.39760E+00   -0.42427E+00    0.19912E+01    0.22313E-01
        34   -0.33830E+00   -0.30089E+00    0.13771E+01    0.22564E+00
        35   -0.64700E+00   -0.51344E+00    0.24093E+01    0.64810E-01
        36   -0.43320E+00   -0.57319E+00    0.26799E+01    0.16376E+00
        37   -0.39430E+00   -0.46383E+00    0.21720E+01    0.75690E-01
        38   -0.68740E+00   -0.68672E+00    0.17893E+01    0.10697E+02
        39   -0.41800E+00   -0.49445E+00    0.14943E+01    0.61389E+01
        40   -0.49870E+00   -0.51711E+00    0.24317E+01    0.28575E-01
        41   -0.46700E-01   -0.98134E-02    0.22528E-01    0.11733E-01
        42   -0.63130E+00   -0.51670E+00    0.24198E+01    0.10181E+00
