material    property    R            E            H            L            I            DB           F            DS           C            CN            ECN 
Cu110       -0.1968     1.2800       1.9000       -4.7251      -3.9515      7.7213       -2.3336      -5.6039      -2.2697      -4.1693      7.0000        5.8300 
Sc0001      -0.5774     1.6200       1.3600       -3.8073      -3.2576      6.5397       2.2982       -6.5673      2.2877       -3.6303      9.0000        7.5000 
