     Index  y_measurement      y_fitting   descriptor_1
         1   -0.73000E-01   -0.17535E+00   -0.53366E+00
         2   -0.12240E+00   -0.23157E+00   -0.46946E+00
         3   -0.68400E-01   -0.11562E+00   -0.60187E+00
         4   -0.60000E-01   -0.14435E-01   -0.71742E+00
         5   -0.95500E-01   -0.90014E-01   -0.63111E+00
         6   -0.55200E-01    0.65864E-01   -0.80912E+00
         7   -0.76900E-01   -0.47176E-01   -0.68003E+00
         8   -0.10770E+01   -0.64266E+00   -0.00000E+00
         9   -0.36140E+00   -0.50203E+00   -0.16060E+00
        10   -0.11450E+00   -0.24778E+00   -0.45094E+00
        11   -0.84900E-01   -0.19732E+00   -0.50857E+00
        12   -0.51090E+00   -0.38750E+00   -0.29139E+00
        13   -0.24870E+00   -0.26517E+00   -0.43109E+00
        14   -0.42970E+00   -0.31058E+00   -0.37923E+00
        15   -0.20360E+00   -0.21691E+00   -0.48620E+00
        16   -0.50170E+00   -0.35448E+00   -0.32909E+00
        17   -0.37490E+00   -0.45221E+00   -0.21749E+00
        18   -0.74080E+00   -0.64266E+00   -0.00000E+00
        19   -0.33500E+00   -0.36645E+00   -0.31543E+00
        20   -0.45320E+00   -0.64266E+00   -0.00000E+00
        21   -0.37710E+00   -0.44937E+00   -0.22073E+00
        22   -0.29730E+00   -0.24501E+00   -0.45411E+00
        23   -0.17380E+00   -0.26229E+00   -0.43437E+00
        24   -0.24740E+00   -0.30806E+00   -0.38211E+00
        25   -0.15630E+00   -0.21368E+00   -0.48989E+00
        26   -0.13960E+00   -0.16844E+00   -0.54155E+00
        27   -0.24600E+00   -0.22549E+00   -0.47640E+00
        28   -0.11410E+00   -0.10783E+00   -0.61077E+00
        29   -0.22910E+00   -0.24576E+00   -0.45325E+00
        30   -0.31450E+00   -0.29350E+00   -0.39873E+00
        31   -0.17230E+00   -0.19502E+00   -0.51119E+00
        32   -0.26870E+00   -0.22422E+00   -0.47785E+00
        33   -0.50810E+00   -0.64266E+00   -0.00000E+00
        34   -0.39760E+00   -0.48161E+00   -0.18391E+00
        35   -0.33830E+00   -0.30263E+00   -0.38831E+00
        36   -0.64700E+00   -0.39565E+00   -0.28208E+00
        37   -0.43320E+00   -0.64266E+00   -0.00000E+00
        38   -0.39430E+00   -0.50131E+00   -0.16142E+00
        39   -0.68740E+00   -0.64266E+00   -0.00000E+00
        40   -0.41800E+00   -0.44611E+00   -0.22446E+00
        41   -0.49870E+00   -0.36387E+00   -0.31837E+00
        42   -0.46700E-01   -0.13099E+00   -0.58432E+00
        43   -0.63130E+00   -0.39900E+00   -0.27826E+00
